ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Series
silverkite,silverkite,,{},,169,False,True,0,26,150234.67151180483,0.22056641786435488,125383.1099151868,0.023805621670515476,549641.0312306705,641462.43,0.95,173119.0346832322,91996.46826369241,0.1323090669394135,71659.69176378776,0.25374912895641266,,,,True,,,150234.67151180483,0.22056641786435488,125383.1099151868,0.023805621670515476,False,Boston-conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,169,True,True,0,26,152046.78938504844,0.22301160091298866,128183.69536838768,0.00011404765645806059,577800.8009047018,641462.43,0.95,187673.93938077876,105919.23286785265,0.14790349245912265,82237.77517607337,5.846414682575407e-05,5,rmse,104222.91798216158,,,,152046.78938504844,0.22301160091298866,128183.69536838768,0.00011404765645806059,False,Boston-conventional
prophet,prophet,,{},,169,False,True,0,26,153477.81371421408,0.16465507074367777,109935.64788091525,-0.018795849408767218,525846.5592244286,641462.43,0.95,155258.3218316719,81046.91433182103,0.11288224096074165,62161.86896539589,0.420817394451767,,,,True,,,153477.81371421408,0.16465507074367777,109935.64788091525,-0.018795849408767218,False,Boston-conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",minmax,169,True,True,0,26,154621.92455562964,0.21239828930455082,124785.3817191163,-0.03404183093390123,573427.4918504212,641462.43,0.95,108682.51047813342,67744.2876663345,0.08657815208234572,49580.155455488435,0.590955727232856,5,rmse,82886.3630296574,,,,154621.92455562964,0.21239828930455082,124785.3817191163,-0.03404183093390123,False,Boston-conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': 'sqrt'}",minmax,168,True,True,1,26,3821.6017381517945,61.51007227502508,3283.864810044798,0.07468612871944613,819.8855671887616,3631.3300000000017,0.95,2767.159302529156,1365.6794860917519,5.522664079666771,1081.7152712740544,0.7486833355358145,5,rmse,3511.3034616835453,,,,18840.489211953754,0.6081177492512213,16696.811260802562,-17.098936332957365,True,Boston-organic
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,,1,26,3854.6048192549706,29.043614403626933,3325.6895832547766,0.05863522978138136,364.49834788749286,3631.3300000000017,0.95,4370.469311931328,1928.5395208397829,1.8763753892377393,1481.402236856664,0.4988349215039313,,,,,"['mlp', 'knn', 'elasticnet', 'xgboost', 'mlr']",,10697.530747218065,0.358683933276478,9713.300057173488,-4.834931852365067,False,Boston-organic
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,168,False,,1,26,3862.1874781316706,25.51533480915311,3330.0883796746557,0.05492793985712752,385.5054137306899,3631.3300000000017,0.95,4410.656064219691,2033.8023441139421,1.5143056525466971,1547.1529221276346,0.4426330636189164,,,,,"['mlp', 'knn', 'elasticnet', 'xgboost', 'mlr', 'svr', 'gbt']","(0.20286657008899772, 0.19683472256153361, 0.17470699094887027, 0.1637653403144189, 0.16043083809774675, 0.1013955379884328, 0.0)",10013.165139398503,0.33724849654137695,9106.936591548963,-4.112242644603133,False,Boston-organic
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 0.1, 'l1_ratio': 0.75}",scale,168,True,True,1,26,3871.428778328276,16.731917355848726,3357.403971566219,0.05039986166496446,261.06740681470114,3631.3300000000017,0.95,3882.7261115682977,2411.4636040751734,6.369644726755685,1885.4550587514343,0.21641676003767407,5,rmse,2428.9883855825096,,,,7478.158097127249,0.24852630620546437,6751.864595735209,-1.8513989553881767,False,Boston-organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 9, 'weights': 'uniform'}",minmax,168,True,True,1,26,3889.834424813662,1.8458883644596047,3270.587435897435,0.041349171265406715,1288.6611111111113,3631.3300000000017,0.95,5288.029625493995,2651.122638198911,8.366362922129738,2009.048763693271,0.05292722659088189,5,rmse,2291.9064211217287,,,,7019.826850297174,0.2381001267151062,6383.142051282061,-1.5125892735793238,False,Boston-organic
silverkite,silverkite,,{},,168,False,True,1,26,3947.226266034973,9.41140268325209,3366.1943045027247,0.012852010733568453,190.36038076139502,3631.3300000000017,0.95,5013.045424193969,2482.0220254795213,2.4725671739051527,1784.3514586978297,0.029395632506786118,,,,True,,,7153.857032779763,0.24244531917226972,6398.234545190983,-1.6094514119838466,False,Boston-organic
