ModelNickname,Estimator,Xvars,HyperParams,Scaler,Tuned,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,integration,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
avg,combo,,"{'how': 'simple', 'models': 'top_5', 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,118290.2466910981,3.2370007854483758,81976.28991105157,-0.001626246196869685,-12440.122902319115,-105804.2699999999,87789.5090498391,2.9264290793717564,67825.63048872928,0.2544471814093697,,,,,"['elasticnet', 'knn', 'mlp', 'prophet', 'mlr']",,227716.70914821624,0.29792769245955514,187688.74678846862,-2.076358353081087,False,Atlanta-conventional,Atlanta,conventional
prophet,prophet,,{'n_changepoints': 4},,True,1,26,113897.55021586317,2.4247616413368593,84594.59677945124,0.07138309128225484,-31652.023877774474,-105804.2699999999,97968.37432687898,2.459098583505592,76506.86886631923,0.07153619327474448,13,rmse,49313.05187305463,True,,,206700.98161554267,0.30136344727839437,181348.8340293958,-1.5347329099954234,False,Atlanta-conventional,Atlanta,conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'n_neighbors': 12, 'weights': 'uniform'}",minmax,True,1,26,118278.72716125949,4.763340994225474,80735.72288461539,-0.0014311717603183727,4110.123333333332,-105804.2699999999,95200.3272534333,1.867904426629604,74898.95371031745,0.1232615396896447,13,rmse,42756.99249099368,,,,326844.68872488965,0.4458645055486428,276910.2488141025,-5.337675363474825,False,Atlanta-conventional,Atlanta,conventional
weighted,combo,,"{'how': 'weighted', 'models': ('mlr', 'knn', 'xgboost', 'gbt', 'elasticnet', 'mlp', 'prophet'), 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,141838.3804151368,18.292614684447674,108358.45104398282,-0.44010894624492924,-8036.2327322260235,-105804.2699999999,47224.452209233874,1.833313792029428,37377.06871682196,0.7842618085637849,,,,,"['elasticnet', 'knn', 'mlp', 'prophet', 'mlr', 'xgboost', 'gbt']",,968733.5211141586,1.4522588177960358,866096.165200814,-54.674430235779916,False,Atlanta-conventional,Atlanta,conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{'max_depth': 5},minmax,True,1,26,155401.62936456827,23.06895766469565,118582.9082046274,-0.7286973135652675,7701.1259765625,-105804.2699999999,359.1467182356333,0.04408039508749405,238.7142707970017,0.9999875222298739,13,rmse,75705.03070656999,,,,1101124.7839046835,1.622289065592255,971470.4505573919,-70.93167956345684,False,Atlanta-conventional,Atlanta,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'max_depth': 2, 'n_estimators': 100}",minmax,True,1,26,180288.87660156173,28.672850624466054,147226.82339881518,-1.3267283754809127,-10370.391700509179,-105804.2699999999,46306.56634092032,3.217531772445717,36127.92502088588,0.7925667681455363,13,rmse,106801.44067849347,,,,1552768.0302839498,2.3635729244004704,1399030.3808913724,-142.04091749233177,False,Atlanta-conventional,Atlanta,conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'alpha': 0.6, 'l1_ratio': 0.75}",scale,True,1,26,2666.4673408075328,0.9086538551689018,2262.403454403471,0.15929267461004004,257.373260266349,-297.59999999999854,3704.670423258188,1.5043562129361439,2579.70421149027,0.06183920641882179,13,rmse,3939.453595579161,,,,2479.457601598571,0.13899486607529102,2008.9731540569303,0.3491500746583558,True,Atlanta-organic,Atlanta,organic
avg,combo,,"{'how': 'simple', 'models': 'top_5', 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,2973.0937549506943,1.0259287119906992,2528.8700540855257,-0.045176179988521525,156.52918616593197,-297.59999999999854,3186.2451610665107,1.4379425310571357,2220.9089134547353,0.30603670388727966,,,,,"['mlp', 'elasticnet', 'knn', 'mlr', 'prophet']",,2684.5560131941616,0.1517895152650644,2205.121358847454,0.2370212777758678,False,Atlanta-organic,Atlanta,organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{},,True,1,26,2997.3151175261037,1.0889317555164815,2575.4179774506047,-0.06227534639650156,-99.92291678488255,-297.59999999999854,3499.3509531598133,2.234203986103627,2469.033256076682,0.16294667819356123,13,rmse,4115.589211742095,,,,3482.83204377402,0.22320210510568275,2928.7475163655563,-0.28419965764845867,False,Atlanta-organic,Atlanta,organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'n_neighbors': 3, 'weights': 'uniform'}",minmax,True,1,26,3428.3098098281134,1.3437976880708307,2841.8496153846154,-0.38973634924489664,2271.9499999999994,-297.59999999999854,3059.6410680381223,1.6471599316034282,2173.358472222222,0.36008972081792123,13,rmse,4021.802953340703,,,,4060.61180640154,0.24010010557223166,3170.6098717948676,-0.745622908815905,False,Atlanta-organic,Atlanta,organic
prophet,prophet,,{'n_changepoints': 1},,True,1,26,3409.0251798407758,1.2943418920282324,2713.488624275692,-0.37414547520300356,-1562.6055163806586,-297.59999999999854,3653.218507766635,2.0084724174841746,2599.9454542393223,0.08771733692382577,13,rmse,4122.654390170186,True,,,5162.608908600749,0.31201802346272406,4206.3073631636835,-1.8216681739452332,False,Atlanta-organic,Atlanta,organic
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{'max_depth': 4},minmax,True,1,26,7008.052520753603,3.5488593069802388,5892.63384380634,-4.807202761577856,304.1925964355469,-297.59999999999854,85.42578346849619,0.07766122428284869,60.15205862431291,0.9995011659798806,13,rmse,7481.71114236229,,,,6204.680641266504,0.33798073142933904,4829.6747641695465,-3.0757388840871007,False,Atlanta-organic,Atlanta,organic
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",minmax,True,1,26,2977.060064527183,1.0067554767575508,2509.0189732501412,-0.04796671255712215,-84.14889627114718,-297.59999999999854,3077.668389045992,1.9829061690839427,2176.507617472185,0.35252683859070055,13,rmse,3795.8134490991893,,,,11958.214926409692,0.6805300439088616,10417.546622312102,-14.139104832197823,False,Atlanta-organic,Atlanta,organic
weighted,combo,,"{'how': 'weighted', 'models': ('mlr', 'knn', 'xgboost', 'gbt', 'elasticnet', 'mlp', 'prophet'), 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,4187.641842557563,2.225169667204954,3634.465334026489,-1.073534927718383,1635.6191994427186,-297.59999999999854,1757.5916808107622,0.815900963514076,1273.8966220344469,0.7888388104692634,,,,,"['mlp', 'elasticnet', 'knn', 'mlr', 'prophet', 'xgboost', 'gbt']",,21421.038869152304,1.3204690550993265,18977.439478940345,-47.57899716406818,False,Atlanta-organic,Atlanta,organic
