ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,,1,26,17905.34337251894,38.98302487541092,17840.82867681505,-138.46013187142555,17634.729952218062,-832.6299999999997,570.0818096679567,1.135852890225575,395.3227261917424,0.5235727740725462,,,,,"['elasticnet', 'knn', 'mlp', 'svr', 'gbt']",,274560.1035096923,65.97367780523625,239972.12063556924,-47228.55073928695,False,Albany-organic,Albany,organic
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 0.3, 'l1_ratio': 1.0}",minmax,168,True,True,1,26,88884.91472877606,193.39821546544772,88871.82953839803,-3435.6941519770503,88886.06438145663,-832.6299999999997,669.1026545157256,3.1002787203165107,480.77450871910827,0.34369198174216864,5,rmse,522.3817930543869,,,,1371661.268335382,329.33459985598193,1199200.9599921287,-1178778.8566929065,False,Albany-organic,Albany,organic
silverkite,silverkite,,{},,168,False,True,1,26,106182.61332690076,7.73270269536448,72179.28843910688,0.19292361374745948,-28452.759759216275,-105804.2699999999,90505.33533013996,2.2688546288905393,70246.19445964338,0.20760534127614771,,,,True,,,159289.80581989378,0.17522041999961996,115012.41063104857,-0.5053001021715637,True,Atlanta-conventional,Atlanta,conventional
prophet,prophet,,{},,168,False,True,1,26,113771.9363923986,6.979326553194928,85744.20866745649,0.07343024325524095,-12616.73975263179,-105804.2699999999,98201.5418189,2.0756076968347923,76415.52730677147,0.06711139390447252,,,,True,,,142375.02189044512,0.19098507214839497,110504.09061615275,-0.20258209418045747,False,Atlanta-conventional,Atlanta,conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25,), 'solver': 'lbfgs', 'random_state': 20}",pt,168,True,True,1,26,118839.54425421152,1.0537006734895735,81491.73117644031,-0.010950232177267871,-358.10817762787724,-105804.2699999999,50.3732743364257,0.0032000489552844757,31.478639431647647,0.9999997506796728,5,rmse,39057.98705136288,,,,233367.71499556006,0.2853034054730744,183867.66650485134,-2.230938364021629,False,Atlanta-conventional,Atlanta,conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,168,True,True,1,26,119190.50834953325,7.170543640925344,81312.07397270825,-0.016930247582423563,-46884.53121805191,-105804.2699999999,77357.06804717974,3.1803424132574136,58690.433083549695,0.4120270767352646,5,rmse,108789.76279494828,,,,250092.57589339564,0.36544149143127574,219901.59545660458,-2.7106391707387707,False,Atlanta-conventional,Atlanta,conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 3.0, 'epsilon': 0.01}",minmax,168,True,True,1,26,119642.80430096113,4.7113140430572376,81874.24545359549,-0.02466284542248398,-10125.449209207603,-105804.2699999999,100983.74569539129,1.4700814922998147,76832.28647547947,-0.0019828219199045094,5,rmse,37028.231815729545,,,,354903.6322826108,0.48207563712337126,299552.4062987871,-6.472535962028856,False,Atlanta-conventional,Atlanta,conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 2, 'weights': 'distance'}",minmax,168,True,True,1,26,120805.58738849334,13.170697507087196,87255.57345918793,-0.04467659235663235,-12881.495015179327,-105804.2699999999,0.0,0.0,0.0,1.0,5,rmse,36321.57326288598,,,,412540.00701514224,0.6380738542858168,375802.196974259,-9.096695728922537,False,Atlanta-conventional,Atlanta,conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,168,True,True,1,26,124657.73024872657,7.20923015326168,95389.97603816105,-0.11236227382503094,12604.955078125,-105804.2699999999,3718.735419427584,0.32810911235503515,2896.7169539072743,0.9986412239432109,5,rmse,104125.89889294241,,,,682934.4356578077,1.0145924172316667,607771.840703125,-26.66974449794131,False,Atlanta-conventional,Atlanta,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': 'sqrt'}",minmax,168,True,True,1,26,173171.65546642547,45.74840569475831,125050.23435887626,-1.1466509770933015,-87307.35345915101,-105804.2699999999,45783.8568111286,3.4208327889728323,36900.664146298615,0.7940403836217997,5,rmse,175641.07570138728,,,,883107.364976713,1.3224477185882084,790944.1288609484,-45.267298142402204,False,Atlanta-conventional,Atlanta,conventional
